bytes	min	avg	max	mdev
20	0.866	0.892	0.909	0.033
30	0.863	0.901	0.920	0.030
40	0.888	0.924	0.945	0.021
50	0.895	0.935	0.954	0.023
60	0.920	0.957	0.981	0.044
70	0.937	0.968	0.987	0.013
80	0.954	0.987	1.012	0.045
90	0.961	0.992	1.031	0.023
100	0.988	1.015	1.051	0.025
110	0.995	1.021	1.051	0.044
120	1.027	1.048	1.096	0.032
130	1.032	1.055	1.089	0.034
140	1.059	1.087	1.118	0.042
150	1.068	1.089	1.109	0.038
160	1.098	1.125	1.156	0.032
170	1.087	1.133	1.162	0.036
180	1.138	1.157	1.182	0.048
190	1.148	1.171	1.194	0.019
200	1.136	1.190	1.218	0.035
210	1.177	1.200	1.232	0.047
220	1.206	1.231	1.256	0.027
230	1.206	1.237	1.264	0.040
240	1.245	1.274	1.299	0.021
250	1.250	1.271	1.306	0.038
260	1.280	1.304	1.337	0.051
270	1.297	1.315	1.339	0.039
280	1.317	1.339	1.368	0.028
290	1.323	1.346	1.376	0.050
300	1.349	1.372	1.397	0.033
310	1.290	1.381	1.416	0.051
320	1.389	1.414	1.439	0.022
330	1.394	1.417	1.455	0.043
340	1.428	1.450	1.479	0.011
350	1.278	1.459	1.488	0.053
360	1.457	1.483	1.528	0.042
370	1.461	1.492	1.525	0.042
380	1.496	1.517	1.567	0.049
390	1.501	1.530	1.555	0.052
400	1.534	1.559	1.585	0.033
410	1.539	1.563	1.595	0.038
420	1.571	1.594	1.615	0.021
430	1.579	1.606	1.631	0.050
440	1.610	1.631	1.655	0.029
450	1.612	1.636	1.670	0.057
460	1.533	1.664	1.693	0.054
470	1.625	1.670	1.697	0.039
480	1.676	1.706	1.737	0.050
490	1.686	1.706	1.742	0.035
500	1.718	1.742	1.770	0.045
510	1.723	1.752	1.777	0.041
520	1.749	1.776	1.806	0.033
530	1.758	1.785	1.817	0.044
540	1.791	1.815	1.855	0.058
550	1.802	1.823	1.848	0.045
560	1.825	1.853	1.919	0.056
570	1.839	1.860	1.891	0.055
580	1.872	1.889	1.924	0.050
590	1.882	1.906	1.936	0.059
600	1.912	1.929	2.005	0.055
610	1.923	1.935	1.988	0.062
620	1.938	1.965	1.990	0.040
630	1.944	1.978	2.006	0.057
640	1.982	2.005	2.032	0.051
650	1.982	2.014	2.052	0.051
660	2.019	2.047	2.071	0.025
670	2.023	2.053	2.083	0.058
680	2.047	2.076	2.107	0.045
690	2.063	2.085	2.109	0.063
700	2.094	2.117	2.143	0.023
710	2.033	2.123	2.160	0.046
720	2.129	2.160	2.184	0.052
730	2.140	2.164	2.204	0.041
740	2.169	2.193	2.220	0.057
750	2.179	2.206	2.233	0.059
760	2.215	2.235	2.265	0.021
770	2.230	2.248	2.268	0.032
780	2.242	2.272	2.300	0.040
790	2.250	2.281	2.310	0.046
800	2.285	2.315	2.355	0.053
810	2.287	2.316	2.342	0.047
820	2.317	2.346	2.376	0.056
830	2.323	2.356	2.380	0.047
840	2.355	2.388	2.412	0.043
850	2.368	2.395	2.420	0.041
860	2.390	2.419	2.442	0.042
870	2.393	2.429	2.455	0.011
880	2.425	2.466	2.494	0.057
890	2.440	2.466	2.509	0.056
900	2.470	2.497	2.534	0.049
910	2.482	2.506	2.547	0.028
920	2.506	2.532	2.574	0.068
930	2.514	2.544	2.574	0.065
940	2.547	2.571	2.599	0.058
950	2.556	2.583	2.611	0.036
960	2.587	2.610	2.637	0.054
970	2.588	2.616	2.640	0.039
980	2.630	2.649	2.685	0.038
990	2.634	2.658	2.717	0.043
1000	2.660	2.686	2.718	0.044
