bytes;min;avg;max;mdev;
20;0.530;0.558;0.585;0.031;
30;0.538;0.564;0.595;0.025;
40;0.557;0.579;0.617;0.026;
50;0.562;0.587;0.609;0.026;
60;0.588;0.607;0.628;0.034;
70;0.592;0.616;0.636;0.020;
80;0.608;0.631;0.678;0.017;
90;0.545;0.634;0.670;0.026;
100;0.628;0.656;0.688;0.029;
110;0.638;0.662;0.684;0.009;
120;0.649;0.680;0.705;0.024;
130;0.672;0.694;0.719;0.022;
140;0.679;0.710;0.738;0.035;
150;0.686;0.715;0.743;0.037;
160;0.688;0.728;0.762;0.027;
170;0.715;0.738;0.770;0.029;
180;0.722;0.754;0.783;0.034;
190;0.736;0.766;0.786;0.015;
200;0.748;0.776;0.808;0.031;
210;0.759;0.786;0.809;0.011;
220;0.784;0.804;0.834;0.023;
230;0.780;0.809;0.838;0.025;
240;0.794;0.827;0.853;0.038;
250;0.801;0.833;0.865;0.032;
260;0.821;0.846;0.873;0.042;
270;0.788;0.854;0.885;0.038;
280;0.852;0.874;0.902;0.042;
290;0.850;0.883;0.907;0.032;
300;0.871;0.899;0.932;0.025;
310;0.880;0.903;0.928;0.041;
320;0.730;0.916;0.948;0.045;
330;0.905;0.936;0.960;0.028;
340;0.922;0.951;0.976;0.024;
350;0.929;0.948;0.980;0.019;
360;0.941;0.970;0.992;0.040;
370;0.946;0.976;1.008;0.038;
380;0.784;0.987;1.013;0.031;
390;0.962;0.991;1.017;0.032;
400;0.989;1.005;1.040;0.019;
410;0.991;1.013;1.040;0.033;
420;1.015;1.035;1.067;0.040;
430;1.017;1.041;1.077;0.030;
440;1.012;1.052;1.078;0.046;
450;1.055;1.061;1.074;0.013;
460;1.058;1.081;1.114;0.043;
470;1.071;1.093;1.117;0.043;
480;1.080;1.108;1.132;0.046;
490;1.088;1.108;1.128;0.039;
500;1.122;1.126;1.144;0.034;
510;1.128;1.139;1.185;0.029;
520;1.127;1.164;1.195;0.038;
530;1.142;1.168;1.189;0.024;
540;1.174;1.185;1.211;0.034;
550;1.170;1.195;1.226;0.049;
560;1.191;1.216;1.243;0.046;
570;1.195;1.220;1.244;0.044;
580;1.212;1.233;1.257;0.046;
590;1.214;1.243;1.276;0.038;
600;1.240;1.261;1.295;0.045;
610;1.264;1.281;1.294;0.045;
620;1.276;1.286;1.307;0.020;
630;1.278;1.298;1.318;0.009;
640;1.288;1.311;1.329;0.017;
650;1.309;1.319;1.343;0.042;
660;1.317;1.338;1.362;0.051;
670;1.311;1.346;1.367;0.038;
680;1.343;1.364;1.382;0.049;
690;1.343;1.375;1.397;0.029;
700;1.366;1.392;1.416;0.048;
710;1.372;1.398;1.423;0.047;
720;1.391;1.415;1.448;0.020;
730;1.406;1.424;1.444;0.019;
740;1.420;1.444;1.469;0.032;
750;1.424;1.452;1.477;0.019;
760;1.444;1.473;1.494;0.030;
770;1.458;1.475;1.497;0.051;
780;1.465;1.491;1.512;0.044;
790;1.487;1.506;1.527;0.044;
800;1.498;1.518;1.539;0.044;
810;1.505;1.524;1.547;0.051;
820;1.513;1.549;1.574;0.053;
830;1.531;1.555;1.576;0.011;
840;1.550;1.575;1.601;0.010;
850;1.554;1.578;1.603;0.054;
860;1.576;1.599;1.623;0.039;
870;1.571;1.607;1.628;0.042;
880;1.588;1.624;1.644;0.041;
890;1.601;1.627;1.660;0.037;
900;1.614;1.650;1.674;0.043;
910;1.643;1.657;1.680;0.018;
920;1.645;1.671;1.693;0.007;
930;1.665;1.684;1.718;0.053;
940;1.672;1.705;1.725;0.019;
950;1.673;1.700;1.731;0.046;
960;1.704;1.723;1.745;0.049;
970;1.711;1.734;1.753;0.013;
980;1.633;1.756;1.824;0.045;
990;1.739;1.759;1.789;0.054;
1000;1.749;1.777;1.804;0.026;
