bytes;min;avg;max;mdev;
20;0.849;0.890;0.909;0.034;
30;0.860;0.897;0.926;0.016;
40;0.885;0.917;0.945;0.027;
50;0.896;0.928;0.952;0.036;
60;0.916;0.951;0.988;0.025;
70;0.936;0.963;0.985;0.040;
80;0.964;0.990;1.015;0.030;
90;0.955;0.989;1.022;0.043;
100;0.985;1.016;1.052;0.039;
110;0.945;1.024;1.047;0.029;
120;1.020;1.049;1.078;0.035;
130;1.036;1.057;1.087;0.039;
140;0.988;1.084;1.110;0.034;
150;1.062;1.092;1.123;0.046;
160;1.088;1.122;1.154;0.046;
170;1.096;1.125;1.151;0.042;
180;1.135;1.157;1.191;0.045;
190;1.138;1.170;1.209;0.043;
200;1.171;1.200;1.229;0.027;
210;1.175;1.202;1.233;0.033;
220;1.190;1.228;1.257;0.037;
230;1.216;1.237;1.263;0.045;
240;1.245;1.270;1.297;0.030;
250;1.248;1.271;1.302;0.031;
260;1.283;1.308;1.351;0.035;
270;1.108;1.309;1.340;0.045;
280;1.145;1.243;1.414;0.079;
290;1.108;1.300;1.361;0.054;
300;1.257;1.318;1.383;0.040;
310;1.147;1.353;1.419;0.075;
320;1.205;1.387;1.455;0.043;
330;1.301;1.361;1.430;0.036;
340;1.276;1.356;1.458;0.059;
350;1.241;1.434;1.512;0.066;
360;1.454;1.486;1.523;0.013;
370;1.472;1.495;1.520;0.043;
380;1.491;1.523;1.546;0.052;
390;1.353;1.525;1.559;0.037;
400;1.533;1.560;1.583;0.036;
410;1.539;1.565;1.609;0.033;
420;1.563;1.599;1.633;0.053;
430;1.580;1.613;1.640;0.046;
440;1.614;1.638;1.678;0.028;
450;1.556;1.645;1.672;0.027;
460;1.645;1.665;1.711;0.056;
470;1.656;1.680;1.717;0.045;
480;1.666;1.707;1.733;0.016;
490;1.684;1.714;1.743;0.042;
500;1.711;1.749;1.788;0.048;
510;1.718;1.756;1.781;0.044;
520;1.756;1.784;1.818;0.059;
530;1.765;1.793;1.816;0.033;
540;1.788;1.823;1.854;0.044;
550;1.796;1.828;1.855;0.032;
560;1.829;1.857;1.882;0.057;
570;1.830;1.865;1.891;0.054;
580;1.859;1.893;1.928;0.024;
590;1.875;1.904;1.927;0.045;
600;1.906;1.934;1.961;0.023;
610;1.911;1.937;1.964;0.054;
620;1.937;1.968;1.999;0.052;
630;1.948;1.975;2.005;0.028;
640;1.978;2.013;2.038;0.035;
650;1.987;2.013;2.045;0.053;
660;2.022;2.052;2.082;0.040;
670;2.033;2.060;2.095;0.048;
680;2.054;2.079;2.112;0.059;
690;2.069;2.093;2.119;0.041;
700;2.100;2.124;2.147;0.030;
710;1.971;2.132;2.201;0.029;
720;2.129;2.158;2.187;0.041;
730;2.131;2.166;2.201;0.053;
740;2.171;2.198;2.222;0.035;
750;2.184;2.206;2.240;0.051;
760;2.205;2.232;2.265;0.055;
770;2.214;2.239;2.275;0.059;
780;2.238;2.268;2.295;0.036;
790;2.248;2.283;2.310;0.051;
800;2.281;2.312;2.335;0.034;
810;2.291;2.319;2.349;0.063;
820;2.325;2.350;2.376;0.020;
830;2.333;2.358;2.396;0.052;
840;2.359;2.390;2.412;0.049;
850;2.362;2.392;2.420;0.069;
860;2.389;2.425;2.458;0.059;
870;2.408;2.432;2.459;0.027;
880;2.446;2.466;2.493;0.035;
890;2.437;2.471;2.501;0.070;
900;2.480;2.507;2.533;0.036;
910;2.483;2.513;2.539;0.068;
920;2.514;2.544;2.609;0.049;
930;2.512;2.546;2.575;0.046;
940;2.545;2.575;2.599;0.059;
950;2.555;2.581;2.616;0.045;
960;2.597;2.622;2.644;0.037;
970;2.560;2.625;2.653;0.037;
980;2.633;2.659;2.683;0.041;
990;2.625;2.662;2.689;0.063;
1000;2.671;2.695;2.718;0.069;
