bytes;min;avg;max;mdev;
20;0.599;0.634;0.658;0.036;
30;0.610;0.660;0.683;0.018;
40;0.680;0.699;0.728;0.030;
50;0.696;0.726;0.754;0.038;
60;0.739;0.758;0.781;0.019;
70;0.762;0.787;0.819;0.039;
80;0.790;0.824;0.851;0.032;
90;0.818;0.853;0.887;0.039;
100;0.865;0.898;0.917;0.013;
110;0.885;0.921;0.961;0.031;
120;0.927;0.961;0.979;0.038;
130;0.924;0.984;1.007;0.041;
140;0.946;1.014;1.047;0.014;
150;1.015;1.038;1.065;0.009;
160;1.051;1.077;1.101;0.026;
170;0.935;1.106;1.129;0.046;
180;1.132;1.139;1.155;0.011;
190;1.144;1.168;1.190;0.026;
200;1.186;1.208;1.241;0.048;
210;1.206;1.231;1.263;0.037;
220;1.255;1.274;1.305;0.040;
230;1.274;1.303;1.332;0.035;
240;1.315;1.339;1.360;0.037;
250;1.351;1.369;1.394;0.037;
260;1.386;1.404;1.426;0.050;
270;1.387;1.432;1.464;0.019;
280;1.440;1.465;1.495;0.049;
290;1.459;1.495;1.520;0.012;
300;1.509;1.537;1.561;0.012;
310;1.540;1.561;1.585;0.038;
320;1.582;1.599;1.624;0.056;
330;1.614;1.625;1.657;0.023;
340;1.637;1.671;1.690;0.055;
350;1.668;1.690;1.711;0.056;
360;1.711;1.732;1.757;0.021;
370;1.672;1.761;1.781;0.042;
380;1.770;1.800;1.827;0.028;
390;1.790;1.817;1.855;0.055;
400;1.726;1.853;1.890;0.049;
410;1.862;1.881;1.905;0.050;
420;1.893;1.925;1.949;0.047;
430;1.924;1.949;1.976;0.046;
440;1.964;1.988;2.012;0.010;
450;1.991;2.013;2.033;0.025;
460;2.027;2.051;2.077;0.010;
470;2.058;2.077;2.110;0.063;
480;2.092;2.118;2.147;0.052;
490;2.125;2.149;2.167;0.026;
500;2.163;2.187;2.221;0.031;
510;2.180;2.209;2.237;0.066;
520;2.226;2.252;2.293;0.024;
530;2.259;2.281;2.305;0.049;
540;2.294;2.315;2.349;0.033;
550;2.325;2.342;2.370;0.062;
560;2.226;2.385;2.409;0.019;
570;2.396;2.409;2.433;0.045;
580;2.421;2.455;2.483;0.058;
590;2.448;2.482;2.523;0.069;
600;2.497;2.522;2.549;0.049;
610;2.521;2.548;2.575;0.057;
620;2.563;2.588;2.616;0.058;
630;2.587;2.615;2.636;0.055;
640;2.626;2.652;2.676;0.063;
650;2.651;2.674;2.700;0.060;
660;2.689;2.710;2.736;0.063;
670;2.703;2.741;2.763;0.038;
680;2.756;2.784;2.807;0.071;
690;2.783;2.815;2.839;0.051;
700;2.748;2.851;2.874;0.058;
710;2.851;2.871;2.893;0.050;
720;2.883;2.919;2.949;0.063;
730;2.901;2.945;2.967;0.044;
740;2.966;2.980;3.001;0.057;
750;2.991;3.016;3.052;0.069;
760;3.024;3.046;3.076;0.025;
770;3.052;3.074;3.106;0.065;
780;3.095;3.116;3.162;0.074;
790;3.123;3.140;3.170;0.061;
800;3.156;3.178;3.207;0.043;
810;3.186;3.208;3.239;0.057;
820;3.223;3.259;3.286;0.067;
830;3.249;3.282;3.309;0.074;
840;3.291;3.317;3.341;0.078;
850;3.266;3.342;3.372;0.056;
860;3.316;3.377;3.401;0.052;
870;3.382;3.407;3.443;0.040;
880;3.321;3.444;3.477;0.071;
890;3.456;3.477;3.498;0.070;
900;3.472;3.512;3.547;0.075;
910;3.500;3.548;3.576;0.031;
920;3.434;3.583;3.609;0.055;
930;3.482;3.605;3.628;0.036;
940;3.537;3.652;3.678;0.047;
950;3.649;3.679;3.701;0.055;
960;3.689;3.708;3.734;0.044;
970;3.710;3.743;3.769;0.022;
980;3.754;3.778;3.806;0.018;
990;3.780;3.807;3.846;0.060;
1000;3.824;3.851;3.871;0.068;
