bytes;min;avg;max;mdev;
20;0.853;0.884;0.910;0.037;
30;0.841;0.891;0.919;0.029;
40;0.891;0.918;0.947;0.019;
50;0.898;0.928;0.958;0.019;
60;0.923;0.948;0.977;0.028;
70;0.927;0.953;0.991;0.041;
80;0.958;0.982;1.024;0.027;
90;0.965;0.986;1.018;0.013;
100;0.990;1.017;1.046;0.021;
110;0.997;1.028;1.051;0.034;
120;1.034;1.051;1.085;0.027;
130;1.033;1.058;1.088;0.012;
140;1.061;1.084;1.115;0.038;
150;1.070;1.098;1.119;0.037;
160;1.100;1.122;1.165;0.038;
170;1.106;1.125;1.153;0.044;
180;1.143;1.159;1.179;0.033;
190;1.145;1.166;1.198;0.047;
200;1.161;1.193;1.233;0.031;
210;1.181;1.208;1.250;0.030;
220;1.215;1.236;1.260;0.029;
230;1.225;1.254;1.270;0.015;
240;1.228;1.271;1.305;0.020;
250;1.249;1.272;1.308;0.033;
260;1.239;1.304;1.334;0.047;
270;1.213;1.316;1.352;0.045;
280;1.326;1.347;1.371;0.020;
290;1.314;1.345;1.373;0.045;
300;1.350;1.381;1.405;0.013;
310;1.364;1.388;1.409;0.040;
320;1.380;1.412;1.444;0.041;
330;1.394;1.422;1.447;0.030;
340;1.429;1.458;1.485;0.023;
350;1.423;1.456;1.491;0.014;
360;1.458;1.481;1.510;0.048;
370;1.467;1.490;1.514;0.033;
380;1.498;1.521;1.546;0.027;
390;1.498;1.529;1.566;0.054;
400;1.438;1.557;1.584;0.039;
410;1.536;1.565;1.596;0.054;
420;1.556;1.597;1.622;0.057;
430;1.580;1.612;1.641;0.028;
440;1.604;1.637;1.661;0.024;
450;1.612;1.646;1.668;0.055;
460;1.640;1.670;1.693;0.028;
470;1.643;1.683;1.720;0.029;
480;1.679;1.708;1.737;0.034;
490;1.686;1.713;1.741;0.040;
500;1.719;1.748;1.774;0.043;
510;1.731;1.756;1.782;0.019;
520;1.743;1.780;1.809;0.017;
530;1.761;1.791;1.826;0.057;
540;1.799;1.820;1.846;0.038;
550;1.792;1.824;1.856;0.023;
560;1.803;1.854;1.886;0.038;
570;1.843;1.862;1.895;0.019;
580;1.871;1.897;1.951;0.036;
590;1.868;1.907;1.932;0.049;
600;1.900;1.932;1.956;0.031;
610;1.916;1.943;1.970;0.030;
620;1.938;1.967;2.003;0.061;
630;1.950;1.973;2.004;0.045;
640;1.966;2.002;2.035;0.016;
650;1.993;2.009;2.035;0.046;
660;2.030;2.045;2.099;0.061;
670;2.028;2.060;2.088;0.039;
680;2.053;2.086;2.117;0.063;
690;1.871;2.088;2.117;0.047;
700;2.044;2.114;2.137;0.056;
710;2.105;2.127;2.154;0.063;
720;2.133;2.156;2.187;0.060;
730;2.135;2.160;2.182;0.049;
740;2.169;2.204;2.235;0.039;
750;2.184;2.214;2.239;0.017;
760;2.206;2.239;2.266;0.062;
770;2.219;2.245;2.275;0.051;
780;2.246;2.266;2.298;0.022;
790;2.250;2.276;2.308;0.061;
800;2.282;2.307;2.341;0.046;
810;2.290;2.324;2.348;0.040;
820;2.320;2.349;2.394;0.038;
830;2.326;2.360;2.386;0.066;
840;2.348;2.384;2.416;0.054;
850;2.348;2.396;2.419;0.021;
860;2.392;2.419;2.445;0.042;
870;2.399;2.422;2.454;0.058;
880;2.445;2.466;2.492;0.070;
890;2.434;2.470;2.498;0.041;
900;2.477;2.503;2.527;0.055;
910;2.481;2.508;2.571;0.070;
920;2.411;2.532;2.624;0.031;
930;2.389;2.541;2.615;0.047;
940;2.406;2.563;2.629;0.039;
950;2.497;2.576;2.604;0.044;
960;2.585;2.616;2.675;0.029;
970;2.589;2.616;2.650;0.064;
980;2.582;2.653;2.727;0.052;
990;2.647;2.668;2.687;0.064;
1000;2.533;2.684;2.851;0.065;
