bytes;min;avg;max;mdev;
20;0.539;0.573;0.593;0.030;
30;0.548;0.560;0.588;0.023;
40;0.521;0.590;0.616;0.018;
50;0.575;0.603;0.626;0.023;
60;0.584;0.611;0.643;0.027;
70;0.586;0.618;0.646;0.036;
80;0.616;0.636;0.664;0.029;
90;0.592;0.645;0.669;0.034;
100;0.630;0.659;0.691;0.026;
110;0.643;0.666;0.697;0.018;
120;0.528;0.687;0.714;0.029;
130;0.665;0.686;0.719;0.036;
140;0.683;0.702;0.729;0.019;
150;0.687;0.713;0.744;0.017;
160;0.699;0.728;0.753;0.027;
170;0.710;0.741;0.772;0.026;
180;0.729;0.750;0.775;0.028;
190;0.739;0.758;0.789;0.030;
200;0.748;0.775;0.807;0.033;
210;0.745;0.780;0.818;0.011;
220;0.776;0.800;0.833;0.013;
230;0.775;0.799;0.822;0.024;
240;0.796;0.817;0.832;0.012;
250;0.818;0.823;0.835;0.005;
260;0.828;0.843;0.872;0.040;
270;0.841;0.848;0.870;0.029;
280;0.850;0.874;0.896;0.021;
290;0.857;0.892;0.908;0.021;
300;0.888;0.909;0.931;0.042;
310;0.883;0.913;0.932;0.026;
320;0.897;0.932;0.958;0.044;
330;0.896;0.925;0.947;0.042;
340;0.916;0.944;0.980;0.024;
350;0.925;0.956;0.987;0.039;
360;0.938;0.965;0.998;0.042;
370;0.944;0.976;1.002;0.021;
380;0.960;0.989;1.012;0.013;
390;0.971;0.995;1.019;0.026;
400;0.987;1.011;1.037;0.013;
410;0.988;1.014;1.045;0.032;
420;1.014;1.032;1.066;0.039;
430;0.989;1.038;1.065;0.042;
440;1.023;1.056;1.086;0.014;
450;1.034;1.061;1.080;0.046;
460;1.059;1.079;1.102;0.041;
470;1.083;1.102;1.128;0.046;
480;1.093;1.107;1.125;0.015;
490;1.095;1.109;1.143;0.039;
500;1.122;1.128;1.163;0.041;
510;1.111;1.141;1.163;0.034;
520;1.134;1.161;1.186;0.044;
530;1.141;1.166;1.192;0.018;
540;1.161;1.182;1.210;0.038;
550;1.043;1.188;1.220;0.045;
560;1.188;1.211;1.236;0.039;
570;1.178;1.217;1.241;0.022;
580;1.213;1.237;1.262;0.010;
590;1.222;1.242;1.271;0.041;
600;1.230;1.262;1.287;0.021;
610;1.244;1.268;1.299;0.034;
620;1.269;1.288;1.313;0.024;
630;1.269;1.287;1.307;0.026;
640;1.271;1.316;1.340;0.047;
650;1.288;1.323;1.350;0.043;
660;1.313;1.339;1.365;0.048;
670;1.325;1.340;1.363;0.049;
680;1.337;1.364;1.386;0.026;
690;1.355;1.374;1.402;0.049;
700;1.372;1.387;1.411;0.021;
710;1.373;1.394;1.417;0.033;
720;1.393;1.415;1.449;0.036;
730;1.410;1.429;1.447;0.013;
740;1.421;1.439;1.481;0.033;
750;1.318;1.445;1.470;0.043;
760;1.445;1.470;1.502;0.026;
770;1.438;1.470;1.496;0.037;
780;1.472;1.490;1.516;0.031;
790;1.480;1.496;1.512;0.040;
800;1.495;1.520;1.543;0.032;
810;1.496;1.525;1.557;0.045;
820;1.472;1.542;1.569;0.013;
830;1.535;1.547;1.563;0.045;
840;1.549;1.565;1.592;0.053;
850;1.552;1.574;1.597;0.028;
860;1.475;1.597;1.621;0.035;
870;1.581;1.599;1.627;0.050;
880;1.598;1.620;1.644;0.049;
890;1.606;1.630;1.719;0.051;
900;1.618;1.644;1.666;0.050;
910;1.630;1.655;1.679;0.042;
920;1.652;1.672;1.709;0.030;
930;1.670;1.673;1.684;0.043;
940;1.674;1.699;1.729;0.032;
950;1.679;1.709;1.737;0.034;
960;1.704;1.727;1.757;0.057;
970;1.708;1.734;1.767;0.041;
980;1.739;1.744;1.764;0.022;
990;1.731;1.753;1.779;0.022;
1000;1.754;1.772;1.805;0.024;
