bytes;min;avg;max;mdev;
20;0.540;0.565;0.592;0.028;
30;0.542;0.576;0.599;0.014;
40;0.562;0.588;0.607;0.029;
50;0.576;0.597;0.623;0.013;
60;0.591;0.613;0.642;0.034;
70;0.589;0.621;0.649;0.021;
80;0.550;0.636;0.663;0.015;
90;0.620;0.641;0.674;0.034;
100;0.633;0.658;0.696;0.036;
110;0.646;0.669;0.694;0.014;
120;0.648;0.679;0.704;0.033;
130;0.657;0.690;0.714;0.022;
140;0.693;0.711;0.731;0.011;
150;0.698;0.715;0.739;0.013;
160;0.707;0.734;0.757;0.028;
170;0.714;0.741;0.777;0.024;
180;0.741;0.757;0.781;0.027;
190;0.747;0.765;0.790;0.026;
200;0.756;0.781;0.815;0.018;
210;0.768;0.789;0.816;0.020;
220;0.782;0.804;0.834;0.010;
230;0.786;0.810;0.832;0.024;
240;0.800;0.827;0.854;0.038;
250;0.809;0.835;0.862;0.029;
260;0.829;0.854;0.879;0.033;
270;0.838;0.862;0.879;0.041;
280;0.863;0.881;0.906;0.018;
290;0.860;0.886;0.918;0.023;
300;0.887;0.902;0.931;0.030;
310;0.883;0.908;0.931;0.026;
320;0.911;0.926;0.945;0.036;
330;0.907;0.932;0.954;0.036;
340;0.935;0.955;0.978;0.043;
350;0.933;0.958;0.982;0.014;
360;0.951;0.973;0.996;0.040;
370;0.959;0.978;1.001;0.033;
380;0.962;0.990;1.021;0.036;
390;0.964;0.993;1.021;0.039;
400;0.983;1.015;1.035;0.008;
410;0.998;1.013;1.051;0.025;
420;1.012;1.031;1.074;0.022;
430;1.022;1.040;1.068;0.045;
440;1.034;1.060;1.092;0.042;
450;1.046;1.067;1.093;0.038;
460;1.060;1.082;1.117;0.027;
470;1.069;1.090;1.115;0.031;
480;1.085;1.106;1.145;0.031;
490;1.094;1.114;1.138;0.016;
500;1.109;1.132;1.163;0.037;
510;1.116;1.141;1.165;0.023;
520;1.138;1.160;1.195;0.040;
530;1.143;1.164;1.191;0.044;
540;1.165;1.184;1.207;0.039;
550;1.172;1.189;1.219;0.047;
560;1.183;1.210;1.229;0.047;
570;1.194;1.217;1.242;0.014;
580;1.215;1.239;1.265;0.014;
590;1.218;1.245;1.274;0.038;
600;1.243;1.270;1.293;0.045;
610;1.249;1.269;1.290;0.048;
620;1.254;1.287;1.316;0.038;
630;1.257;1.299;1.327;0.031;
640;1.292;1.319;1.351;0.009;
650;1.294;1.325;1.348;0.031;
660;1.311;1.341;1.369;0.016;
670;1.335;1.354;1.401;0.042;
680;1.337;1.368;1.391;0.018;
690;1.347;1.376;1.404;0.031;
700;1.370;1.398;1.425;0.040;
710;1.374;1.400;1.435;0.019;
720;1.396;1.419;1.441;0.032;
730;1.402;1.428;1.450;0.044;
740;1.423;1.442;1.474;0.049;
750;1.424;1.456;1.476;0.036;
760;1.451;1.474;1.503;0.022;
770;1.457;1.480;1.505;0.052;
780;1.467;1.500;1.522;0.014;
790;1.488;1.507;1.543;0.033;
800;1.494;1.525;1.551;0.043;
810;1.503;1.534;1.560;0.014;
820;1.521;1.545;1.576;0.031;
830;1.531;1.557;1.582;0.046;
840;1.554;1.582;1.603;0.042;
850;1.557;1.586;1.608;0.052;
860;1.577;1.599;1.636;0.018;
870;1.585;1.609;1.638;0.042;
880;1.593;1.631;1.656;0.054;
890;1.610;1.633;1.651;0.032;
900;1.620;1.651;1.668;0.027;
910;1.634;1.650;1.671;0.056;
920;1.657;1.682;1.707;0.046;
930;1.657;1.681;1.707;0.052;
940;1.688;1.706;1.737;0.050;
950;1.688;1.712;1.736;0.044;
960;1.701;1.729;1.757;0.058;
970;1.709;1.732;1.758;0.030;
980;1.727;1.753;1.781;0.009;
990;1.733;1.767;1.791;0.055;
1000;1.761;1.785;1.809;0.047;
