bytes;min;avg;max;mdev;
20;0.227;0.260;0.295;0.026;
30;0.212;0.261;0.299;0.026;
40;0.225;0.263;0.298;0.025;
50;0.231;0.263;0.298;0.023;
60;0.222;0.260;0.298;0.027;
70;0.225;0.263;0.295;0.023;
80;0.224;0.262;0.315;0.020;
90;0.231;0.262;0.302;0.016;
100;0.222;0.261;0.306;0.025;
110;0.233;0.262;0.290;0.017;
120;0.225;0.262;0.298;0.020;
130;0.235;0.262;0.289;0.020;
140;0.237;0.259;0.296;0.025;
150;0.228;0.263;0.291;0.020;
160;0.231;0.265;0.502;0.033;
170;0.229;0.262;0.295;0.026;
180;0.230;0.254;0.289;0.014;
190;0.233;0.262;0.294;0.019;
200;0.239;0.268;0.504;0.038;
210;0.243;0.279;0.533;0.062;
220;0.253;0.301;0.515;0.086;
230;0.252;0.303;0.521;0.090;
240;0.254;0.320;0.522;0.100;
250;0.262;0.363;0.526;0.117;
260;0.263;0.461;0.521;0.093;
270;0.272;0.472;0.529;0.082;
280;0.268;0.467;0.531;0.089;
290;0.274;0.480;0.529;0.075;
300;0.285;0.494;0.540;0.062;
310;0.485;0.514;0.542;0.026;
320;0.296;0.512;0.543;0.025;
330;0.490;0.519;0.540;0.026;
340;0.490;0.518;0.544;0.017;
350;0.490;0.519;0.545;0.030;
360;0.499;0.521;0.551;0.027;
370;0.502;0.524;0.562;0.023;
380;0.513;0.531;0.553;0.025;
390;0.509;0.540;0.566;0.033;
400;0.508;0.539;0.566;0.031;
410;0.516;0.543;0.572;0.031;
420;0.524;0.547;0.571;0.028;
430;0.529;0.550;0.573;0.030;
440;0.543;0.556;0.576;0.032;
450;0.543;0.561;0.585;0.013;
460;0.539;0.563;0.586;0.033;
470;0.552;0.570;0.588;0.016;
480;0.543;0.571;0.589;0.026;
490;0.554;0.576;0.595;0.021;
500;0.564;0.582;0.608;0.014;
510;0.565;0.584;0.612;0.031;
520;0.576;0.593;0.624;0.023;
530;0.571;0.594;0.611;0.027;
540;0.585;0.602;0.625;0.025;
550;0.583;0.602;0.624;0.034;
560;0.591;0.610;0.633;0.020;
570;0.604;0.617;0.631;0.018;
580;0.605;0.622;0.646;0.011;
590;0.607;0.625;0.652;0.031;
600;0.614;0.629;0.653;0.036;
610;0.606;0.636;0.663;0.033;
620;0.626;0.646;0.666;0.016;
630;0.618;0.643;0.669;0.033;
640;0.622;0.646;0.678;0.014;
650;0.628;0.655;0.679;0.015;
660;0.640;0.657;0.685;0.016;
670;0.638;0.660;0.677;0.026;
680;0.635;0.665;0.692;0.030;
690;0.648;0.669;0.688;0.030;
700;0.653;0.676;0.700;0.009;
710;0.648;0.680;0.705;0.015;
720;0.662;0.685;0.706;0.024;
730;0.668;0.684;0.717;0.021;
740;0.676;0.696;0.732;0.022;
750;0.677;0.698;0.719;0.033;
760;0.679;0.703;0.722;0.032;
770;0.686;0.708;0.727;0.033;
780;0.703;0.713;0.737;0.026;
790;0.703;0.718;0.744;0.032;
800;0.712;0.723;0.744;0.030;
810;0.704;0.727;0.746;0.034;
820;0.707;0.736;0.751;0.017;
830;0.711;0.736;0.759;0.022;
840;0.727;0.741;0.763;0.008;
850;0.722;0.748;0.771;0.028;
860;0.727;0.750;0.772;0.023;
870;0.733;0.754;0.785;0.018;
880;0.735;0.760;0.778;0.029;
890;0.751;0.765;0.790;0.021;
900;0.752;0.771;0.793;0.027;
910;0.758;0.772;0.802;0.033;
920;0.762;0.776;0.796;0.023;
930;0.750;0.783;0.812;0.035;
940;0.780;0.792;0.820;0.017;
950;0.778;0.794;0.812;0.034;
960;0.775;0.797;0.819;0.037;
970;0.788;0.803;0.822;0.036;
980;0.779;0.807;0.834;0.016;
990;0.803;0.814;0.833;0.025;
1000;0.800;0.820;0.842;0.032;
