bytes;min;avg;max;mdev;
20;0.555;0.576;0.602;0.030;
30;0.550;0.578;0.602;0.024;
40;0.561;0.597;0.608;0.020;
50;0.581;0.599;0.625;0.023;
60;0.583;0.617;0.641;0.025;
70;0.601;0.620;0.662;0.013;
80;0.597;0.643;0.661;0.016;
90;0.612;0.641;0.662;0.025;
100;0.634;0.663;0.690;0.033;
110;0.639;0.669;0.697;0.037;
120;0.661;0.694;0.714;0.031;
130;0.662;0.695;0.725;0.034;
140;0.695;0.710;0.739;0.022;
150;0.691;0.721;0.747;0.022;
160;0.525;0.737;0.756;0.024;
170;0.710;0.746;0.769;0.032;
180;0.733;0.760;0.779;0.019;
190;0.516;0.770;0.796;0.035;
200;0.645;0.787;0.811;0.025;
210;0.740;0.791;0.806;0.024;
220;0.776;0.813;0.834;0.039;
230;0.787;0.814;0.847;0.041;
240;0.796;0.828;0.858;0.016;
250;0.809;0.838;0.859;0.032;
260;0.825;0.856;0.885;0.026;
270;0.842;0.864;0.887;0.009;
280;0.757;0.877;0.905;0.018;
290;0.875;0.887;0.905;0.035;
300;0.878;0.909;0.932;0.020;
310;0.892;0.911;0.934;0.037;
320;0.911;0.934;0.957;0.030;
330;0.911;0.932;0.950;0.037;
340;0.862;0.949;0.974;0.023;
350;0.945;0.960;0.986;0.039;
360;0.947;0.966;0.989;0.040;
370;0.957;0.981;1.009;0.044;
380;0.967;0.993;1.017;0.028;
390;0.968;0.999;1.025;0.032;
400;0.988;1.008;1.042;0.029;
410;0.994;1.018;1.044;0.022;
420;1.013;1.042;1.066;0.027;
430;1.018;1.046;1.082;0.040;
440;0.707;1.054;1.092;0.052;
450;1.042;1.067;1.096;0.046;
460;1.053;1.087;1.113;0.046;
470;0.981;1.093;1.120;0.038;
480;1.097;1.108;1.134;0.045;
490;1.105;1.123;1.150;0.046;
500;1.112;1.142;1.160;0.023;
510;1.108;1.144;1.169;0.046;
520;1.134;1.160;1.182;0.042;
530;1.140;1.166;1.193;0.032;
540;1.174;1.192;1.220;0.046;
550;1.174;1.193;1.219;0.023;
560;1.186;1.211;1.235;0.028;
570;1.198;1.219;1.242;0.044;
580;1.216;1.241;1.262;0.047;
590;1.233;1.251;1.276;0.035;
600;1.245;1.272;1.290;0.032;
610;1.251;1.271;1.295;0.021;
620;1.262;1.290;1.319;0.038;
630;1.282;1.309;1.325;0.023;
640;1.292;1.318;1.345;0.048;
650;1.313;1.332;1.357;0.051;
660;1.326;1.346;1.369;0.049;
670;1.330;1.353;1.373;0.024;
680;1.353;1.368;1.391;0.035;
690;1.347;1.371;1.395;0.034;
700;1.374;1.401;1.420;0.049;
710;1.382;1.408;1.428;0.036;
720;1.299;1.423;1.444;0.023;
730;1.398;1.426;1.460;0.049;
740;1.416;1.452;1.476;0.031;
750;1.434;1.459;1.479;0.009;
760;1.306;1.476;1.495;0.052;
770;1.459;1.481;1.503;0.052;
780;1.475;1.502;1.529;0.023;
790;1.490;1.506;1.530;0.043;
800;1.494;1.515;1.539;0.048;
810;1.513;1.530;1.554;0.021;
820;1.532;1.550;1.577;0.041;
830;1.536;1.558;1.578;0.041;
840;1.552;1.574;1.592;0.046;
850;1.566;1.580;1.603;0.038;
860;1.452;1.601;1.624;0.059;
870;1.585;1.613;1.637;0.054;
880;1.611;1.618;1.641;0.041;
890;1.535;1.627;1.647;0.043;
900;1.636;1.660;1.688;0.034;
910;1.638;1.659;1.691;0.044;
920;1.663;1.681;1.702;0.057;
930;1.669;1.677;1.700;0.050;
940;1.674;1.702;1.727;0.031;
950;1.686;1.708;1.739;0.025;
960;1.707;1.728;1.755;0.041;
970;1.708;1.737;1.768;0.028;
980;1.736;1.750;1.777;0.036;
990;1.730;1.760;1.778;0.017;
1000;1.754;1.773;1.800;0.039;
