
Pinging 192.168.1.200 with 32 bytes of data from [192.168.1.130]:

Reply from 192.168.1.200: bytes=32 time 0.46 ms, TTL=255, Hop=0, Jitter=0.00 ms
Reply from 192.168.1.200: bytes=32 time 0.40 ms, TTL=255, Hop=0, Jitter=0.00 ms
Reply from 192.168.1.200: bytes=32 time 0.42 ms, TTL=255, Hop=0, Jitter=0.00 ms
Reply from 192.168.1.200: bytes=32 time 0.44 ms, TTL=255, Hop=0, Jitter=0.01 ms
Reply from 192.168.1.200: bytes=32 time 1.17 ms, TTL=255, Hop=0, Jitter=0.05 ms
Reply from 192.168.1.200: bytes=32 time 0.47 ms, TTL=255, Hop=0, Jitter=0.09 ms
Reply from 192.168.1.200: bytes=32 time 0.50 ms, TTL=255, Hop=0, Jitter=0.09 ms
Reply from 192.168.1.200: bytes=32 time 0.42 ms, TTL=255, Hop=0, Jitter=0.09 ms
Reply from 192.168.1.200: bytes=32 time 0.46 ms, TTL=255, Hop=0, Jitter=0.09 ms
Reply from 192.168.1.200: bytes=32 time 0.43 ms, TTL=255, Hop=0, Jitter=0.08 ms
Reply from 192.168.1.200: bytes=32 time 0.45 ms, TTL=255, Hop=0, Jitter=0.08 ms
Reply from 192.168.1.200: bytes=32 time 0.42 ms, TTL=255, Hop=0, Jitter=0.08 ms
Reply from 192.168.1.200: bytes=32 time 0.42 ms, TTL=255, Hop=0, Jitter=0.07 ms
Reply from 192.168.1.200: bytes=32 time 0.42 ms, TTL=255, Hop=0, Jitter=0.07 ms
Reply from 192.168.1.200: bytes=32 time 0.42 ms, TTL=255, Hop=0, Jitter=0.06 ms
Reply from 192.168.1.200: bytes=32 time 0.45 ms, TTL=255, Hop=0, Jitter=0.06 ms
Reply from 192.168.1.200: bytes=32 time 0.43 ms, TTL=255, Hop=0, Jitter=0.06 ms
Reply from 192.168.1.200: bytes=32 time 0.45 ms, TTL=255, Hop=0, Jitter=0.06 ms
Reply from 192.168.1.200: bytes=32 time 0.49 ms, TTL=255, Hop=0, Jitter=0.06 ms
Reply from 192.168.1.200: bytes=32 time 0.46 ms, TTL=255, Hop=0, Jitter=0.05 ms
Reply from 192.168.1.200: bytes=32 time 0.45 ms, TTL=255, Hop=0, Jitter=0.05 ms
Reply from 192.168.1.200: bytes=32 time 0.46 ms, TTL=255, Hop=0, Jitter=0.05 ms
Reply from 192.168.1.200: bytes=32 time 0.45 ms, TTL=255, Hop=0, Jitter=0.05 ms
Reply from 192.168.1.200: bytes=32 time 0.43 ms, TTL=255, Hop=0, Jitter=0.05 ms
Reply from 192.168.1.200: bytes=32 time 0.43 ms, TTL=255, Hop=0, Jitter=0.04 ms
Reply from 192.168.1.200: bytes=32 time 0.42 ms, TTL=255, Hop=0, Jitter=0.04 ms
Reply from 192.168.1.200: bytes=32 time 0.44 ms, TTL=255, Hop=0, Jitter=0.04 ms
Reply from 192.168.1.200: bytes=32 time 0.44 ms, TTL=255, Hop=0, Jitter=0.04 ms
Reply from 192.168.1.200: bytes=32 time 0.42 ms, TTL=255, Hop=0, Jitter=0.04 ms
Reply from 192.168.1.200: bytes=32 time 0.44 ms, TTL=255, Hop=0, Jitter=0.03 ms
